userName,password,email,name,surname,dateOfBirth,gender,maritalState,hasKids,hasPets,extrovert,natureLover,museumLover,sportLover
andrewhall,^20RqsXcg2,andrea53@example.com,Timothy,Zimmerman,1968-11-05,Other,Single,0,0,0,0,1,0
kirkpatrick,&mWlkPh48),charlesanthony@example.com,Kevin,Baker,1977-02-12,Female,Single,0,0,0,0,1,1
lbarker,V*#M9NHc@0,simmonsangela@example.com,Robert,Mckenzie,1961-02-16,Female,Married,0,1,0,0,1,1
jenna89,DN87lauqG&,adrian01@example.org,Pamela,Hansen,1988-11-29,Female,Married,0,1,1,0,0,1
zgriffin,&iLfdU^b0B,margaret05@example.com,Thomas,Crawford,1948-06-18,Female,Single,0,1,1,0,1,1
pattyflores,$xpInwIw9&,hmyers@example.com,Rachel,Mcconnell,1951-10-12,Other,Divorced,1,0,1,1,0,0
williamslaura,4h)6PudIzd,christopher23@example.net,Larry,Cameron,1986-12-12,Male,Married,1,1,0,0,0,0
morriscarol,_8OR1R_fOi,richard61@example.net,Michele,Greer,1985-01-18,Other,Single,0,0,1,0,1,0
lindanorman,WCm%Lsro!0,erice@example.com,Deanna,Hurst,1944-03-09,Female,Married,1,0,1,0,1,1
parkerhaley,uI^9vKchcu,kporter@example.com,James,Elliott,1978-03-19,Female,Single,1,0,0,0,1,1
sandraowens,I00SkWlVo!,pattersondavid@example.net,Cody,Mckee,1971-11-23,Other,Single,1,0,1,1,0,0
paul27,_cB4BX^d75,whitechristopher@example.org,Elizabeth,Lynn,1947-10-17,Other,Single,0,1,0,1,0,0
syoung,)5CGXKbNgy,johnsonkimberly@example.org,Louis,Heath,1945-09-02,Male,Married,0,1,0,1,0,0
belltina,^MBRwpAL_3,pattersonjennifer@example.org,John,Williams,1951-12-26,Male,Married,1,0,1,1,0,1
loganrichard,Th&xCGO)&2,yvelasquez@example.net,Susan,Gregory,1974-04-18,Female,Married,1,1,1,1,0,0
timothy10,13rJ+wEn)3,donna65@example.com,Damon,Schneider,1955-02-08,Other,Married,1,1,0,0,0,1
jacobglenn,Wd+2Q)kA*2,suzanne00@example.org,Thomas,Anderson,1946-10-01,Other,Married,0,1,1,0,0,0
scraig,!xK@ns#VM2,jenniferhickman@example.net,Michael,Parker,1974-12-17,Other,Married,0,1,1,1,0,1
stevensscott,meLvyvJc(2,westbecky@example.net,Angela,Marquez,1988-10-09,Male,Divorced,1,0,1,1,1,1
randall70,pM8e9MRcu$,gmiller@example.com,Bridget,Pitts,1946-09-07,Male,Divorced,1,1,1,1,0,0
freese,#$6I*saB4w,michellecook@example.net,Charles,Bennett,1989-01-20,Male,Single,1,0,0,1,0,0
nelsonbobby,G%3GWr9y#8,melissa01@example.net,Emily,Wright,1962-03-30,Other,Divorced,0,1,0,1,1,1
scott14,1ZZwgo!i#1,simmonsmarcus@example.org,Jonathan,Hernandez,1956-05-09,Other,Single,1,0,0,0,1,1
gregoryturner,5m&K3Jcf_Z,ayalanicolas@example.net,Michael,Olsen,1991-11-11,Other,Married,1,1,0,1,0,1
juliewilliams,)RqXCh$gn2,curtis92@example.net,Joseph,Fields,1960-10-21,Female,Single,1,1,1,1,1,0
dduncan,yG36EUckB+,andrea73@example.net,Kyle,Weber,2003-12-29,Other,Married,0,1,0,0,1,1
sharon29,#XV@AXbP%3,williamsangela@example.com,Aaron,Jones,1970-12-22,Female,Single,1,0,1,1,0,1
ramirezalexis,*0$YzxEE!e,brodriguez@example.com,Nathan,Valdez,1974-05-02,Female,Married,1,1,1,1,1,0
marissawatson,z&e5$Yt0P1,arichards@example.org,Jenny,Rice,1985-04-06,Other,Single,0,1,0,0,0,0
millerbrittany,%6DT!qiy&a,martinezwendy@example.org,Lindsey,Norris,1973-12-01,Female,Divorced,0,0,1,1,0,0
millerlinda,)rYh99Ayon,stephanie21@example.org,Melissa,Mccarthy,1994-05-17,Female,Married,1,1,1,0,1,0
flowersmatthew,ii13Dkgek*,lisamiller@example.com,Brent,Little,1975-12-10,Other,Single,0,1,0,1,0,1
nguyenpamela,bv#BquRa_3,lhawkins@example.com,Kimberly,Tucker,1970-04-02,Other,Married,1,0,1,1,0,0
costaphillip,jy^g3M&d%O,estevens@example.org,Bob,Costa,1986-11-29,Male,Divorced,0,1,0,1,0,0
lindacruz,96OoLh(N!Z,pparsons@example.org,Rodney,Lopez,1970-06-19,Other,Single,0,1,0,0,0,1
martinheather,+##8NRgu!9,hicksmckenzie@example.com,Sheryl,Reese,2000-04-22,Male,Married,0,0,1,1,0,1
garciadavid,%4pcgmRhow,baldwinkelly@example.org,Jack,Cole,1947-06-16,Other,Married,0,1,0,0,0,1
jamesbrady,Si5MfZyj*!,robert93@example.org,Patricia,Dickerson,1978-06-15,Male,Married,1,1,1,0,0,1
davistina,@8%2+IHg$8,michael13@example.com,Holly,Swanson,1985-07-28,Female,Married,0,1,1,1,1,1
nicholasball,b37QJTf(*I,pcowan@example.net,Rebekah,Collins,2001-07-31,Female,Divorced,1,1,1,1,1,1
kingrussell,M$_5G##zoe,bridgesolivia@example.com,Derek,Stokes,1958-12-08,Other,Married,0,1,1,1,0,1
hatfieldchristine,5Kjr%7(u$_,jason92@example.com,Michael,Gonzalez,1965-10-13,Female,Single,1,1,0,1,1,0
wilsonfrank,&6BUQzxZIr,smithstuart@example.net,Carrie,Dunlap,1994-05-19,Other,Divorced,0,0,1,0,1,1
holmeszachary,IdOReKqn#9,wayne81@example.net,Andrew,Cox,1944-11-05,Other,Married,0,1,1,0,0,1
bwhite,^$#R*+Grh3,eriley@example.net,Kathryn,Jones,1962-06-20,Other,Single,0,1,1,0,0,0
gillerin,h9ObsC$_*3,donaldrodriguez@example.org,Joshua,Nash,1976-10-29,Other,Married,1,1,0,1,1,1
kanecassidy,#d_h4PkxRK,alexandria10@example.org,Deanna,Suarez,1988-02-06,Other,Divorced,1,1,1,0,0,0
jessebrown,BJ6B7nnH)%,christianmathis@example.net,Rebekah,Hodges,1954-03-03,Male,Single,1,1,0,1,1,1
david00,(z)R6wg^8i,pkelly@example.net,Brandon,Ashley,1972-07-31,Female,Married,1,0,0,0,0,0
lisacortez,H^34UiiE@0,loribradley@example.net,Dakota,Howard,1958-09-16,Male,Single,1,1,1,1,1,0
zmcconnell,S+c@5L5wIf,deborah07@example.com,Howard,Ingram,1971-09-20,Female,Divorced,1,0,0,0,1,1
hsalazar,RM_jG^Wu@6,bondrachel@example.net,Alan,Owens,1960-06-27,Female,Divorced,1,1,0,1,0,0
theresa71,OKb8YGYxC(,paynemichelle@example.net,Crystal,Mathews,1990-01-05,Male,Divorced,1,0,0,0,0,0
awarren,4ROztK^p)1,lisa02@example.org,Joshua,Holmes,1998-06-25,Male,Divorced,1,0,0,0,1,1
jbraun,8zAf@Q6n+U,cstewart@example.com,Tina,Lin,1948-05-26,Male,Single,0,1,1,1,1,0
atyler,4&70Selg^F,kathleensimpson@example.com,Jessica,Williamson,1956-06-20,Male,Married,0,0,0,1,1,0
luisjordan,z%64(ReuA*,anthony96@example.com,Alex,Dunn,1946-05-19,Female,Divorced,0,1,1,0,1,0
frankgould,ldE9UnKt#8,bdiaz@example.org,Henry,Owens,1995-03-18,Male,Divorced,1,1,1,0,0,1
kristen74,E2WMroU!(x,ymalone@example.com,David,Phelps,1946-09-15,Other,Divorced,0,1,1,1,0,1
apeterson,&5!GIXWt^I,francodiane@example.net,Melinda,Donovan,1993-12-15,Male,Single,0,0,0,1,0,0
careymark,*7Rkqxt62A,harold14@example.net,Kellie,Rogers,1956-10-15,Male,Married,0,0,0,1,1,1
jeffreypierce,1p&Yg#sd@5,morgan47@example.org,Alan,Campos,1948-02-10,Female,Divorced,1,1,1,1,1,1
thomastrevino,+SN&91Ze!A,ylittle@example.net,Cynthia,Aguilar,1959-04-10,Other,Single,0,1,0,1,1,1
vharrell,%oPan&zDc5,wmartin@example.org,Gary,Edwards,1992-08-09,Male,Divorced,0,0,0,0,1,0
jonesscott,y9H!tZeB%n,howardbrandon@example.org,Katherine,Watts,2005-11-10,Male,Married,1,1,1,1,0,1
xjohnson,+PoNYDt580,elaine60@example.net,Brenda,Gonzalez,1992-11-23,Other,Single,0,0,0,0,1,0
cooleycarl,!*Y7aIGw3G,dconrad@example.org,Lindsey,Odom,1947-03-30,Female,Single,0,0,0,1,0,1
derek51,+1*9Zg7oTS,katherinesmith@example.net,Vanessa,Rocha,1967-06-10,Female,Divorced,1,1,1,1,1,1
blakedana,)U0Qdyose2,glennodom@example.com,Jon,Garrett,1980-11-18,Male,Married,0,0,0,0,0,0
mgriffin,(8PNn(Zqgc,williamsrobert@example.com,Ronald,Hanna,1993-01-25,Other,Single,1,0,1,1,0,1
wjoseph,zE)7D4Dm3t,butlerronnie@example.net,Kathy,Santos,1968-06-08,Female,Divorced,1,0,0,1,1,1
isaac88,jw1GNIod#9,fullerdavid@example.org,Erica,Riley,1956-01-13,Female,Single,0,0,0,0,0,1
millermichael,3MS$0Zo3Zt,prestontina@example.org,Angela,Gross,1980-01-14,Female,Divorced,1,0,1,0,1,1
jenna40,er2rM1LLp+,omarshall@example.com,Kevin,Ruiz,1964-06-06,Other,Married,0,1,1,0,1,0
woodsdanielle,^1IxTjozZl,patrickdavid@example.org,Brittany,Cruz,1976-01-24,Female,Married,1,1,1,0,0,1
devin42,Y+5ZDmbnt*,wayne57@example.org,Lisa,Webb,1993-08-02,Other,Divorced,1,0,1,1,0,0
angelmartinez,)#0&+CeM)8,egarrett@example.com,Melissa,Perry,1952-06-23,Male,Divorced,0,0,0,0,0,0
wlane,VA2Eu@1dF+,fred52@example.net,Matthew,Davis,1949-06-07,Male,Single,1,0,0,1,1,0
fhood,ff8pYoyWJ+,kevin69@example.org,Patrick,Pearson,1970-08-28,Other,Divorced,0,1,0,0,1,0
austinjames,#hErFUli6U,chayes@example.com,Christina,Hodges,2004-01-30,Other,Single,0,1,1,1,1,0
whitemichael,&9KLXi+XbR,leepage@example.net,Pamela,Cox,1997-11-21,Male,Single,1,0,1,1,1,1
cheyennerichard,xKq%8Hlpng,mark73@example.org,Mark,Adams,1973-11-15,Female,Divorced,1,1,1,0,0,1
thomasjames,$!R66Nazpg,wilsonmatthew@example.org,Daniel,Harrell,1974-04-13,Male,Single,0,0,1,1,0,0
michaelstevens,7k_!7LCq&D,donnajackson@example.net,Dennis,Martinez,1956-05-31,Male,Divorced,1,0,0,0,0,0
khayes,wN6Ent8w$r,shawamanda@example.net,Anna,Lee,1980-03-09,Other,Single,0,1,1,1,1,1
zacharycarter,&+V0aFZluQ,marshlogan@example.org,Janice,Payne,2000-10-15,Female,Married,1,0,0,1,1,0
rebecca03,e$8K#0%sFt,kevin24@example.com,James,Larson,1949-10-01,Male,Divorced,0,1,1,0,1,1
louis89,$wFeMPBM1a,qbrown@example.net,Jacob,Morris,1957-09-07,Other,Single,0,1,0,1,0,1
amber42,PtjA2C^uQ%,lynchalexa@example.net,Laura,Wells,1946-11-26,Male,Divorced,0,0,0,1,0,1
julian18,gFUFwm9Y+8,vazquezdavid@example.net,Elizabeth,Ross,1968-01-30,Female,Married,1,1,0,1,0,0
danielle33,keCoGl)T+1,tmoody@example.com,Victoria,Day,1976-03-31,Female,Divorced,1,1,1,1,1,1
guerrerobrenda,b2eYLr*F+p,medinavanessa@example.net,Amber,Pham,1983-02-01,Male,Single,1,0,1,1,0,1
smithmichael,#4buP(AsIC,billdominguez@example.com,Nina,Robinson,1989-11-02,Other,Divorced,0,1,1,0,0,0
eric28,@Ae7YC2aFI,jdalton@example.com,Denise,Little,1989-03-20,Other,Married,1,1,1,1,0,1
omcmahon,fh0Q^+jw&u,carrie44@example.org,Gregory,Leonard,1949-11-10,Other,Single,0,0,1,1,0,0
qbarrett,Q90HNAuW*_,anitacurry@example.com,Zachary,Kennedy,1980-11-30,Male,Single,0,1,1,0,1,1
johnnyjohnson,S0jZvQkc%g,matthewsmith@example.com,Gary,Diaz,1985-06-23,Female,Single,1,1,1,1,0,0
whitegeorge,!2ZObPAaRY,sandovalkathryn@example.com,Erin,Miller,2002-11-02,Female,Single,0,1,1,0,0,0
smithchristina,(uERLfp)z9,awong@example.net,Pamela,Branch,1945-08-13,Female,Married,0,1,1,0,1,1
kevinbarnes,03rMLiZc@d,hahnshannon@example.net,Matthew,Orr,1997-06-15,Male,Married,0,1,0,0,0,1
stephanie68,*e6M)@XuHQ,aaronjohnson@example.net,Tonya,Wong,1960-05-28,Male,Single,1,0,0,0,1,1
xmartinez,0%@0EZra(i,michaelsantos@example.org,Dillon,Beard,1978-10-11,Other,Married,0,0,0,1,1,0
amy88,%4INiZ1v4^,ronald86@example.net,Gregory,Griffin,1998-12-07,Other,Married,1,0,0,1,1,0
james49,Lmk+2Wmr_!,sandrakirk@example.com,Joshua,Norris,1962-10-23,Other,Single,1,1,1,1,1,1
james57,jq*0sWLxmh,amysmith@example.net,Austin,Wilson,2002-10-16,Male,Married,1,0,0,1,1,0
alec83,E9ZVM&5u!V,tyler41@example.net,Jay,Smith,1997-08-15,Male,Married,1,1,0,1,1,0
petersonjohn,D)U4QW#p8S,mcdowellpriscilla@example.net,Frank,Colon,1949-11-29,Male,Single,0,0,0,0,0,1
wadechristopher,lL_71ErC^%,trodriguez@example.org,Mary,Thomas,1946-07-06,Other,Married,1,0,0,1,1,0
yanderson,6kQCDjwH$8,judycarrillo@example.net,Patricia,Graves,1954-07-16,Other,Married,1,0,0,0,0,1
stephenjacobs,%dLb_@gzd8,jack66@example.net,Brandy,Riddle,1962-05-02,Male,Married,0,0,1,0,0,1
richard52,_+t9HaN*%Z,sherriguzman@example.net,Joseph,Coleman,1976-01-20,Other,Single,0,1,0,1,1,0
gomezchristine,@0^Eub6AdM,millsvictoria@example.net,Megan,Wilson,1989-03-27,Female,Married,1,0,1,1,1,1
phernandez,&2ZFGW&jFL,adamskeith@example.com,Tammy,Lawson,1955-12-15,Other,Married,1,0,1,0,0,0
johnsonjames,8B$0Zwyz%O,davisdavid@example.net,Cathy,Harrison,1984-07-03,Female,Single,0,1,1,1,1,1
gibsonandrew,&7%AgeqWyq,wmedina@example.com,Jessica,Sims,1978-10-27,Other,Divorced,1,0,1,1,1,1
stacybrown,!_Ck0NKqMT,angelaluna@example.com,Crystal,Romero,2003-04-02,Male,Divorced,1,0,1,0,0,0
tharris,I_B)6aYugR,stephenramirez@example.com,Cory,Smith,1983-01-25,Female,Single,1,0,1,1,1,1
zrandall,A#^6Cf6gsE,kathleen85@example.org,Lynn,Simmons,1953-04-23,Male,Single,0,0,0,0,1,1
courtneycastillo,*IG4XDUutk,jroman@example.com,Michael,Robinson,1975-01-12,Female,Divorced,0,0,0,1,0,0
qmiller,$Q)1FZyEcq,sturner@example.com,Gary,Taylor,1983-10-10,Other,Married,0,0,1,0,0,1
daniellereed,k8nzLhH1_c,megan39@example.com,Heather,Lloyd,1947-12-02,Other,Divorced,0,1,0,1,1,0
lauradavis,r)1FJTx6)B,kayla87@example.com,Keith,Barry,2005-12-25,Other,Single,0,0,1,0,0,0
samanthasaunders,p@2)4JApfA,fowlerangelica@example.net,Emily,Soto,1948-07-02,Female,Married,0,1,0,1,1,0
denise28,I16!FE6nD@,brandihall@example.net,Johnathan,Randolph,1969-06-02,Male,Single,1,0,1,0,0,1
urobinson,#qf7ROwu@J,dana65@example.org,Jacqueline,Cain,1972-02-28,Other,Married,1,1,1,0,1,0
ewalker,hn&2Rmsk!(,cjohnson@example.org,Andrew,Smith,1969-08-22,Other,Single,1,0,0,1,1,0
castrojohn,S%6PpMiDNr,harry71@example.net,Michael,Matthews,1982-10-29,Other,Single,0,0,1,1,0,0
gonzaleseddie,ciw@KcR4^1,chadsmith@example.org,Linda,Rosario,1978-05-03,Other,Divorced,0,1,0,0,0,0
karispence,!kHVfX23f9,daysteven@example.com,Russell,Lopez,2005-02-28,Female,Married,1,0,1,0,0,0
shall,79DMrOON)Z,twatson@example.com,David,Garcia,1955-02-10,Male,Divorced,1,1,1,1,0,1
linda23,(X$dvmHf31,harrisamy@example.org,Denise,Lambert,1978-07-02,Other,Single,0,0,0,0,1,1
garybeard,3^7_h0(c9S,morgan64@example.net,Andrew,Marshall,1980-10-24,Other,Married,0,1,1,0,1,0
woodsherry,^&_Dyn^a+5,davidparks@example.org,James,Archer,1986-08-23,Other,Married,1,0,0,1,1,0
wilsonderrick,an5D8x0%)R,brayjohn@example.net,Ashley,Schneider,1965-03-14,Other,Single,0,0,1,0,0,0
murrayeric,ssO!TZ1r)3,ashlee36@example.net,Anna,Brown,1968-01-01,Female,Single,1,0,1,0,0,1
upearson,9nUi7Lzc#3,alexander71@example.net,Ashley,Hansen,2005-11-12,Other,Married,0,1,1,1,1,1
christina02,FTTBSDks_5,sabrina82@example.com,Lindsay,Gordon,2003-11-28,Female,Married,0,0,0,1,1,1
petersonhannah,UW1imbyv(4,qwhite@example.com,Daniel,Johnson,1978-05-10,Male,Divorced,1,0,1,1,0,0
cassidyalexander,!4Dk6G@P!r,ritawilliams@example.com,Kyle,Harris,2003-09-09,Male,Divorced,0,1,0,0,1,0
mckenziedominique,!QaEXr&4@8,terrycindy@example.org,Brandon,Fisher,1957-06-01,Female,Divorced,1,0,1,0,1,1
mmoore,&OFsz0J&D7,erinlee@example.org,Jeanette,Hernandez,1946-10-18,Other,Divorced,0,1,1,0,1,1
robinwhite,#%@9VArGKq,astanley@example.net,Sarah,Cowan,1985-02-19,Other,Married,1,1,1,1,1,0
dwoods,Mo1kJKA@9(,carlsonveronica@example.net,Christopher,Gamble,1974-03-23,Other,Married,1,1,1,1,0,1
gbarrett,d+UCNKjj&9,tracihenderson@example.com,Jennifer,Rogers,1966-06-09,Male,Married,1,1,0,1,1,0
zwatson,*#xvDOFy88,robertsonsamantha@example.net,Amber,Burns,1958-01-25,Female,Married,1,0,1,1,1,0
bentleymadison,s+@7sNvMJL,pruittvictoria@example.com,Michelle,Williams,1977-01-02,Other,Single,0,1,0,1,0,1
dwebb,QO1vxrBp#J,brendamoore@example.com,Christopher,Mclaughlin,1981-01-13,Male,Divorced,1,0,0,1,0,1
rickey16,Y1G2E#Di%Z,ramosstephen@example.org,Jamie,Michael,1966-08-13,Male,Divorced,0,0,1,0,1,0
rriddle,d_PlZs(m(2,nlozano@example.net,Julian,Ball,1967-09-30,Female,Married,0,0,0,1,1,1
padillajoseph,_2s8VmGZDi,randy15@example.net,Brent,Brock,1975-12-03,Male,Divorced,0,0,0,1,0,0
brendawilliams,N53BlbB7*1,fmorris@example.com,Michelle,Vasquez,1982-01-25,Male,Single,1,0,0,1,1,1
craig62,1qQnSjMj+#,briggskari@example.net,Amy,Tran,1968-11-27,Other,Divorced,1,0,1,1,0,1
ucarter,!yzE(Yqp@0,mcclainsara@example.com,Matthew,Mitchell,1967-09-30,Other,Single,0,1,0,1,1,0
aclark,Us#97Tp#Wv,zsmith@example.org,Amanda,Phelps,1980-02-04,Other,Divorced,0,1,1,1,0,0
gary83,ehb7c$Dd&@,kevin29@example.org,James,Adams,1952-02-22,Male,Single,1,0,0,0,0,1
chadglenn,P@F7EIfe^U,jacksonjacqueline@example.net,Miranda,Moyer,1978-04-03,Other,Married,0,0,1,0,1,0
adunn,_Jv8O0vtp%,vwashington@example.net,Maria,Byrd,1998-04-20,Female,Single,0,0,0,1,0,0
christophertorres,$0NCyh1060,millertracy@example.net,Deborah,Martinez,2002-08-24,Female,Divorced,1,1,1,0,1,1
terrencerobinson,^0jEvbaj(3,cwatts@example.net,Tina,Lopez,2003-08-11,Other,Divorced,1,1,0,0,1,1
james67,I$&Qh8Eth(,tiffanyfloyd@example.com,Michael,Santiago,1956-10-07,Female,Married,1,1,0,1,0,0
markchavez,)xVI5Zwx30,ikim@example.net,Joseph,Williams,1944-08-26,Male,Single,1,1,1,0,0,0
klee,%9G!r5Of1w,spowers@example.net,Jessica,Martinez,1996-01-18,Male,Single,1,0,0,1,1,1
marybraun,@b7GP4BphL,joseserrano@example.org,Richard,Boyd,1983-09-26,Other,Divorced,0,0,0,1,1,0
timothy29,7WdxLcWx#F,dwood@example.net,Jeremy,Gutierrez,1995-08-15,Other,Married,0,1,1,0,1,1
darrell96,Od+!^t0x@2,tiffanywallace@example.net,Lori,Rodriguez,1984-11-28,Male,Married,1,1,0,1,0,1
trodriguez,9iT5@dAl&F,gschmidt@example.com,Marissa,Young,2005-03-25,Male,Single,1,0,0,1,0,1
terrireyes,^wJMlI1mh2,vgould@example.net,Chelsea,Mcmillan,1981-10-01,Male,Married,1,1,0,1,1,1
lopezbeth,wVZ&7Ax0X+,jennifer26@example.com,Glen,Smith,1950-01-14,Male,Single,1,1,0,0,1,0
veronica23,90GzeO6v*#,duncanalexis@example.net,Darryl,Jones,1973-10-04,Male,Married,0,1,1,1,1,0
joyce99,(0T)&uqjLQ,kevinmartinez@example.net,Mike,Dalton,1965-02-12,Female,Divorced,1,0,1,0,1,0
hcuevas,0YP2Fq*&Q),lhorne@example.net,Ann,Bullock,2002-08-02,Other,Divorced,1,1,1,1,1,0
angela05,bw$1ZNhQxh,jeffcarpenter@example.net,Susan,Dixon,1975-06-25,Female,Divorced,0,1,0,0,0,0
heather94,PXB7J4c%S&,flynnlauren@example.com,Katherine,Simmons,1995-08-25,Male,Married,0,0,0,1,1,1
stephanie56,Qu(6T3bg+3,oramirez@example.com,Benjamin,Smith,1983-12-19,Female,Divorced,1,1,1,1,1,0
brianmueller,^$+1CFqro9,rkrueger@example.org,Amber,Fox,2003-09-15,Male,Single,1,0,1,1,1,1
brittany90,)&+2QxWcUX,gutierrezandrea@example.com,Christopher,Hicks,1978-03-26,Male,Divorced,0,0,0,1,1,1
riosbethany,)TWeyJIdJ5,lbanks@example.net,Jeffery,Wolfe,1979-10-24,Male,Married,1,1,0,0,0,1
mccluretracey,CfSn5PIm%f,jonesjennifer@example.net,Tiffany,Phillips,1970-04-14,Male,Single,1,1,1,1,1,1
linda26,5ZWSiaIY%K,darlene62@example.com,Ryan,Kim,1996-09-30,Male,Divorced,0,1,0,0,1,1
saracohen,MohbXJ0u!4,jessica58@example.com,Carol,Johnson,1970-12-15,Male,Single,1,1,1,1,0,0
uwalters,$4VXiyJzM1,kelly39@example.net,Steven,Edwards,1974-03-24,Other,Married,1,0,1,0,1,0
moralesruth,)lASlsXf$8,christophersullivan@example.org,Kevin,Shepard,1975-01-15,Male,Married,0,1,1,1,0,1
tarawhite,B@9BHtgMel,catherinelopez@example.com,Dawn,Barnes,1997-07-27,Female,Married,0,0,1,1,1,1
alyssastanley,t%2sR5odYC,mroberts@example.org,Xavier,Cochran,1967-02-21,Other,Single,0,1,0,0,1,1
xlewis,dj74UwHS#8,zjones@example.com,Julia,Webb,1995-10-25,Other,Divorced,1,0,1,0,1,0
christopherellis,@1_eCq&kI5,jedwards@example.net,Amanda,Sanders,2005-11-04,Other,Married,0,1,0,0,1,1
richard01,ruH9Lo!Rp!,nbrown@example.com,Thomas,Wright,1998-06-13,Male,Divorced,1,1,0,0,0,0
jwilliams,@BX9A)Un+_,dunnmary@example.com,Nina,Melton,1971-04-07,Female,Single,0,0,0,0,1,0
penatyler,!nqOkeY#41,cmyers@example.net,Ruben,Brown,1986-10-21,Female,Married,1,1,0,1,0,1
terrytaylor,e&&209Lql1,carterjessica@example.net,Alexander,Cook,1996-05-11,Other,Married,1,1,1,1,1,0
otanner,&f!y2Sex^t,qharris@example.com,Jennifer,Barnes,1947-07-28,Other,Divorced,0,1,1,1,0,1
emily19,1rCY3smk+#,daniellemiller@example.com,Timothy,Lewis,1975-07-22,Female,Single,0,1,0,1,0,0
bcampbell,20gsOtnN*f,hwright@example.org,Stacy,Ortiz,1979-02-08,Other,Single,1,0,1,1,1,1
daniel39,$08IwlCuAJ,zachary97@example.org,Destiny,Ortiz,1958-02-18,Other,Divorced,0,1,1,1,1,1
bradley61,_L2*NHVk2(,jamesayers@example.org,Michelle,Glenn,1960-04-16,Female,Married,0,1,0,1,1,1
jesusbraun,)RK72+*p4h,amanda33@example.net,Daniel,Shelton,1998-10-31,Female,Divorced,1,0,1,0,1,0
salinastodd,v@J0Xge1uc,davismichelle@example.org,Michael,Garcia,2003-12-09,Female,Married,0,1,0,0,0,1
conradjustin,ah28nT#d$N,jameshawkins@example.com,Joseph,Warren,2003-02-25,Male,Single,1,0,0,1,1,1
felicia04,*dCEK$Fz!6,llindsey@example.org,Jessica,Morris,1950-06-08,Male,Married,0,0,1,1,1,0
adrianbishop,U)^6CIFj+5,jhansen@example.com,Jordan,Gonzalez,1948-04-01,Female,Divorced,1,0,1,1,0,1
lisa03,WTg0lGfog*,stewartronald@example.org,Shaun,Carlson,1952-06-06,Other,Married,1,0,0,0,1,0
sabrina69,H4z2AsNp!e,wcabrera@example.net,Thomas,Villarreal,1961-12-13,Female,Married,0,1,0,0,0,1
troy18,A@h1+VVgc*,baileyanthony@example.org,Ashlee,Perez,1947-01-10,Female,Divorced,0,0,1,1,1,1
holmesstacy,*%8_+RIcCp,kevinanderson@example.org,Barry,Weiss,1960-09-24,Other,Divorced,0,0,1,1,1,0
erin67,*z4Srhig_t,gibsoncharles@example.net,Michael,Alvarado,1982-08-27,Female,Single,1,0,1,0,1,0
jason95,1@534nCs%f,yevans@example.net,John,Jackson,1986-02-27,Female,Married,1,0,1,0,1,1
lisawilkinson,@7^JAjtfRE,daniel47@example.net,Destiny,Marquez,1989-03-08,Female,Single,1,0,0,0,1,0
durhammelinda,ll4KyS!q^v,donald92@example.net,Stacey,Thomas,2006-09-25,Female,Single,0,1,1,0,0,0
micheleyu,u3_83TrxK_,brooke87@example.org,Danielle,Miller,1950-05-26,Female,Divorced,0,0,1,0,0,1
gdiaz,#I!S+%phf0,ian88@example.net,Lynn,Roach,1952-04-28,Other,Single,1,0,1,0,1,1
michele09,M62nZ@ig$J,chenrhonda@example.com,Anthony,Smith,1975-04-11,Female,Married,1,1,1,0,1,0
omooney,&^^I5Ol%%b,alexanderstefanie@example.com,Gerald,Harris,1982-02-14,Other,Divorced,1,0,0,0,1,0
barkerpaul,%yVO_GHj1i,adouglas@example.net,Thomas,Diaz,1998-10-29,Female,Married,0,0,1,0,1,0
kurtdavis,^BVuHLDM(0,fschaefer@example.com,Kirsten,Peterson,1969-10-20,Other,Married,1,1,1,1,1,0
laura06,R6N*AXot+8,susanrojas@example.org,Cynthia,Kelley,1964-02-22,Female,Married,0,0,1,1,0,0
scottseth,#RN1sM5cq0,rjohnson@example.net,Benjamin,Meyer,1951-08-06,Other,Single,0,0,0,0,0,1
stacey06,&SN9KAfXPB,cherylross@example.com,Cassidy,Yang,1990-07-07,Male,Divorced,0,1,0,0,0,0
wesleygomez,h6r&#JBe)4,savannahyoung@example.com,Justin,Jones,1967-06-14,Female,Single,1,0,0,1,0,1
smithcarla,y&c0R#NqY3,danielhansen@example.org,Jacob,Allen,1978-07-18,Other,Divorced,0,0,1,0,0,1
bfoster,)OFsjCzRO3,riddleanna@example.com,Bonnie,Black,1981-01-17,Female,Divorced,1,0,1,1,1,0
steven55,M_8Z!zLULs,charlescisneros@example.net,Veronica,Obrien,1998-12-18,Female,Married,1,0,1,0,1,1
james61,)JbhG5Tz_$,yjohnson@example.net,Jason,Downs,1945-05-29,Other,Divorced,0,0,1,1,1,1
schmidtannette,%8Ci7ZJ*Mx,ericschroeder@example.com,Michael,Morton,1950-01-19,Male,Divorced,1,1,1,0,1,1
susanswanson,HXBgy&xE%7,padillacharles@example.net,Anthony,Luna,1946-06-22,Female,Single,1,1,0,0,0,0
rwilliamson,6s9RtEjz+M,oscott@example.org,Michael,Johnson,1958-03-23,Other,Single,1,1,0,0,1,1
shannonricky,_fW8#3Now#,katherineedwards@example.net,Sean,Scott,1944-06-12,Male,Divorced,0,1,1,0,1,0
